118
1	H	0	1	1

2	He	2	2	2

3	Li	4	3	3

4	Be	5	4	4

5	B	6	5	5

6	C	6	6	6

7	N	7	7	7

8	O	8	8	8

9	F	10	9	9

10	Ne	10	10	10

11	Na	12	11	11

12	Mg	12	12	12

13	Al	14	13	13

14	Si	14	14	14

15	P	16	15	15

16	S	16	16	16

17	Cl	18	17	17

18	Ar	22	18	18

19	K	20	19	19

20	Ca	20	20	20

21	Sc	24	21	21

22	Ti	26	22	22

23	V	28	23	23

24	Cr	28	24	24

25	Mn	30	25	25

26	Fe	30	26	26

27	Co	32	27	27

28	Ni	31	28	28

29	Cu	35	29	29

30	Zn	35	30	30

31	Ga	39	31	31

32	Ge	41	32	32

33	As	42	33	33

34	Se	45	34	34

35	Br	45	35	35

36	Kr	48	36	36

37	Rb	48	37	37

38	Sr	50	38	38

39	Y	50	39	39

40	Zr	51	40	40

41	Nb	52	41	41

42	Mo	54	42	42

43	Tc	55	43	43

44	Ru	57	44	44

45	Rh	58	45	45

46	Pd	60	46	46

47	Ag	61	47	47

48	Cd	64	48	48

49	In	66	49	49

50	Sn	69	50	50

51	Sb	71	51	51

52	Te	76	52	52

53	I	74	53	53

54	Xe	77	54	54

55	Cs	78	55	55

56	Ba	81	56	56

57	La	82	57	57

58	Ce	82	58	58

59	Pr	82	59	59

60	Nd	84	60	60

61	Pm	84	61	61

62	Sm	88	62	62

63	Eu	89	63	63

64	Gd	93	64	64

65	Tb	94	65	65

66	Dy	97	66	66

67	Ho	98	67	67

68	Er	99	68	68

69	Tm	100	69	69

70	Yb	103	70	70

71	Lu	104	71	71

72	Hf	106	72	72

73	Ta	108	73	73

74	W	110	74	74

75	Re	111	75	75

76	Os	114	76	76

77	Ir	115	77	77

78	Pt	117	78	78

79	Au	118	79	79

80	Hg	121	80	80

81	Tl	123	81	81

82	Pb	125	82	82

83	Bi	126	83	83

84	Po	126	84	84

85	At	125	85	85

86	Rn	136	86	86

87	Fr	136	87	87

88	Ra	138	88	88

89	Ac	138	89	89

90	Th	142	90	90

91	Pa	140	91	91

92	U	146	92	92

93	Np	144	93	93

94	Pu	150	94	94

95	Am	148	95	95

96	Cm	151	96	96

97	Bk	150	97	97

98	Cf	153	98	98

99	Es	153	99	99

100	Fm	157	100	100

101	Md	157	101	101

102	No	157	102	102

103	Lr	159	103	103

104	Rf	157	104	104

105	Db	157	105	105

106	Sg	160	106	106

107	Bh	157	107	107

108	Hs	159	108	108

109	Mt	159	109	109

110	Ds 	161	110	110

111	Rg 	161	111	111

112	Cn 	173	112	112

113	Nh	171	113	113

114	Fl	175	114	114

115	Mc	173	115	115

116	Lv	176	116	116

117	Ts	178	117	117

118	Og	176	118	118

